CardCode,CardName,GroupCode,Address,ZipCode,MailAddres,CntctPrsn,City
50341,פז קרמיקה בעמ,117,יגאל אלון 6,NULL,יגאל אלון 6,NULL,תל אביב
50105,בלוק היוצר ( ניסים ח. ביניין),103,ראש פינה 31,NULL,ראש פינה 31,NULL,תל אביב
50582,יעקב חרש בעמ  -נתניה,131,הבנאי 12,NULL,האומנות 12,"מייל תמ""ש",חולון
50062,מולטי ריטייל גרופ בעמ - פתח תקוה ירקונים סניף 59,123,גליס 9 צומת סגולה,NULL,ירקונים 58,מחסן,פתח תקווה
50037,מולטי ריטייל גרופ בעמ - טבריה פוריה סניף 30,123,גליס 9 צומת סגולה,NULL,המברג 1 צומת פוריה,מחסן,פתח תקווה
50381,קרמיקה חביב,109,ת.ד 290,NULL,תחנת הרכבת 8,NULL,נתניה
50148,הום  סנטר טבריה,114,טוליפמן 7,NULL,יהודה הלוי 2 מרכז דנילוב,NULL,ראשון לציון
70015,ק,107,א.ת שילת,73188,א.ת שילת,NULL,NULL
50336,עמוסי -נגר יבוא ושווק עוגן בעמ,109,רננים 7 א.ת,NULL,רננים 7 א.ת,גיול,רעננה
50571,הום סנטר נס ציונה,114,טוליפמן 7,NULL,הפטיש 6,NULL,ראשון לציון
50265,מודי יבוא ושווק קרמיקה בעמ( בני ברק),111,הלחי 31,51200,הלחי 31,NULL,בני ברק
50278,מפעלי אחים עאמר מרצפות ושיש בעמ (עכו),109,ת.ד 192,24914,עכו,"מייל תמ""ש",פקיעין
70016,זהר שמחי,107,-,NULL,לא ידוע,NULL,-
50525,נגב קרמיקה ראשון לציון,113,NULL,NULL,יצחק בן צבי 30,NULL,NULL
50396,רמי . ר מחסני הקרמיקה  בעמ,103,התחיה 24( אספקה לתחיה בלבד ),68169,התחיה 24,NULL,יפו
50545,יהלום הבית,103,האצל 4,NULL,המלאכה 63,גילי,ראשון לציון
50714,מולטי ריטייל גרופ בעמ - יריד חבר - סניף 7,123,ספיר 1,7570460,ספיר 1,אורן,ראשון לציון
50543,נ.א מקלחונים,103,שדרות ירושליים 221,NULL,שדרות ירושליים 221,NULL,תל אביב
50999,לקוחות דלפק,107,NULL,NULL,NULL,NULL,NULL
50180,הום סנטרבעמ סגולה פתח תקווה,114,טוליפמן 7,NULL,בן ציון 32,NULL,ראשון לציון
50317,סמרה  תא-יהודה סמרה,109,ת.ד 12666,46733,המלך גורג' 56,אשת קשר,הרצליה
50032,אזיקרי עיצובים בעמ,117,האצל 9 (דואר מזל אליעזר 5),NULL,האצל 9 (דואר מזל אליעזר 5),NULL,ראשון לציון
50568,גליקמן צנרת בעמ,109,ת.ד 9185,31091,חטיבת גולני 50,גליקמן גיול,חיפה
50697,מחסני זקאק,109,יהודה הימית 71,NULL,יהודה הימית 71,גיול,"ת""א- יפו"
50390,ר.מ.א קרמיקה בעמ,109,(ת.ד 1104),NULL,היוצרים 19 א.ת כרמיאל,"מייל תמ""ש",כרמיאל
50352,צ. מחסני קרמיקה בעמק בעמ (עפולה ),110,חטיבת תשע 22,NULL,חטיבת תשע 22,NULL,עפולה
50683,מרזוק עאמר בעמ,103,ת.ד 484,25155,ת.ד 484,NULL,כפר חרפוש
50207,טובול קרמיקה בעמ (פרויקטים),113,הבנאי 7 ת.ד 4070,7178366,-,שירות,מודיעין
50596,אליהו מזרחי חומרי בניין בעמ,109,ההגנה 47 א',NULL,ההגנה 47 א',בעל העסק,תל אביב
50657,י.ע.גרוס - חברה לעבודות בניין (1992) בעמ,123,רמז 26,5521226,NULL,NULL,קריית אונו
50141,הום סנטר בני ברק,114,טוליפמן 7,NULL,מבצע קדש 68,NULL,ראשון לציון
50208,טופולסקי ושות' בעמ,113,-,3006500,-,כלנית,קבוץ יגור
50060,מולטי ריטייל גרופ בעמ - נס ציונה סניף 4,123,גליס 9 צומת סגולה,NULL,הפטיש 6,מחסן,פתח תקווה
50009,א.י.ס אדור בעמ,103,אליעזר מזל 9/8 פינת סחורוב,7565323,אליעזר מזל 9/8 פינת סחורוב,NULL,ראשון לציון
50194,חבוש בעמ,103,רחוב המתכת 2,6092000,-,NULL,א.ת קדימה/צורן
50237,יבוא ויצוא סובב עולם,103,פרקשטיין 30 קרית משה,NULL,-,NULL,ירושלים
50324,עדן קרמיק ליין בעמ,109,ת.ד 2638,NULL,העבודה 27 א.ת הקלה,יורם/דדי,אשדוד
50145,הום  סנטר הרצליה,114,טוליפמן 7,NULL,שד' 7 הכוכבים 8,NULL,ראשון לציון
50067,מולטי ריטייל גרופ בעמ - רעננה סניף 47,123,גליס 9 צומת סגולה,NULL,הסדנא 2,מחסן,פתח תקווה
50444,יעקב חרש בעמ באר שבע,131,הבנאי 12,NULL,-,"מייל תמ""ש",חולון
